"","Location","TimeFrame","DataFormat.x","Child","DataFormat.y","Unemployment"
"1","Anderson",2001,"Percent",0.222,"Percent",0.04
"2","Anderson",2002,"Percent",0.228,"Percent",0.054
"3","Anderson",2003,"Percent",0.241,"Percent",0.056
"4","Anderson",2004,"Percent",0.245,"Percent",0.072
"5","Anderson",2005,"Percent",0.278,"Percent",0.064
"6","Anderson",2006,"Percent",0.243,"Percent",0.059
"7","Anderson",2007,"Percent",0.234,"Percent",0.052
"8","Anderson",2008,"Percent",0.241,"Percent",0.057
"9","Anderson",2009,"Percent",0.258,"Percent",0.088
"10","Anderson",2010,"Percent",0.272,"Percent",0.095
"11","Anderson",2011,"Percent",0.27,"Percent",0.091
"12","Andrews",2001,"Percent",0.183,"Percent",0.039
"13","Andrews",2002,"Percent",0.18,"Percent",0.055
"14","Andrews",2003,"Percent",0.205,"Percent",0.054
"15","Andrews",2004,"Percent",0.201,"Percent",0.051
"16","Andrews",2005,"Percent",0.208,"Percent",0.043
"17","Andrews",2006,"Percent",0.187,"Percent",0.035
"18","Andrews",2007,"Percent",0.209,"Percent",0.032
"19","Andrews",2008,"Percent",0.178,"Percent",0.034
"20","Andrews",2009,"Percent",0.171,"Percent",0.071
"21","Andrews",2010,"Percent",0.194,"Percent",0.06
"22","Andrews",2011,"Percent",0.184,"Percent",0.05
"23","Angelina",2001,"Percent",0.237,"Percent",0.058
"24","Angelina",2002,"Percent",0.235,"Percent",0.068
"25","Angelina",2003,"Percent",0.249,"Percent",0.067
"26","Angelina",2004,"Percent",0.246,"Percent",0.066
"27","Angelina",2005,"Percent",0.298,"Percent",0.056
"28","Angelina",2006,"Percent",0.24,"Percent",0.047
"29","Angelina",2007,"Percent",0.319,"Percent",0.044
"30","Angelina",2008,"Percent",0.301,"Percent",0.049
"31","Angelina",2009,"Percent",0.254,"Percent",0.083
"32","Angelina",2010,"Percent",0.27,"Percent",0.08
"33","Angelina",2011,"Percent",0.287,"Percent",0.077
"34","Aransas",2001,"Percent",0.319,"Percent",0.058
"35","Aransas",2002,"Percent",0.296,"Percent",0.065
"36","Aransas",2003,"Percent",0.307,"Percent",0.072
"37","Aransas",2004,"Percent",0.307,"Percent",0.084
"38","Aransas",2005,"Percent",0.363,"Percent",0.054
"39","Aransas",2006,"Percent",0.378,"Percent",0.048
"40","Aransas",2007,"Percent",0.322,"Percent",0.042
"41","Aransas",2008,"Percent",0.331,"Percent",0.045
"42","Aransas",2009,"Percent",0.354,"Percent",0.069
"43","Aransas",2010,"Percent",0.412,"Percent",0.081
"44","Aransas",2011,"Percent",0.377,"Percent",0.08
"45","Archer",2001,"Percent",0.125,"Percent",0.024
"46","Archer",2002,"Percent",0.095,"Percent",0.03
"47","Archer",2003,"Percent",0.118,"Percent",0.032
"48","Archer",2004,"Percent",0.131,"Percent",0.037
"49","Archer",2005,"Percent",0.135,"Percent",0.033
"50","Archer",2006,"Percent",0.121,"Percent",0.035
"51","Archer",2007,"Percent",0.108,"Percent",0.032
"52","Archer",2008,"Percent",0.115,"Percent",0.038
"53","Archer",2009,"Percent",0.137,"Percent",0.06
"54","Archer",2010,"Percent",0.152,"Percent",0.06
"55","Archer",2011,"Percent",0.166,"Percent",0.059
"56","Armstrong",2001,"Percent",0.151,"Percent",0.013
"57","Armstrong",2002,"Percent",0.135,"Percent",0.031
"58","Armstrong",2003,"Percent",0.131,"Percent",0.031
"59","Armstrong",2004,"Percent",0.142,"Percent",0.042
"60","Armstrong",2005,"Percent",0.168,"Percent",0.039
"61","Armstrong",2006,"Percent",0.169,"Percent",0.036
"62","Armstrong",2007,"Percent",0.152,"Percent",0.034
"63","Armstrong",2008,"Percent",0.148,"Percent",0.036
"64","Armstrong",2009,"Percent",0.142,"Percent",0.048
"65","Armstrong",2010,"Percent",0.116,"Percent",0.047
"66","Armstrong",2011,"Percent",0.159,"Percent",0.049
"67","Atascosa",2001,"Percent",0.265,"Percent",0.042
"68","Atascosa",2002,"Percent",0.261,"Percent",0.057
"69","Atascosa",2003,"Percent",0.279,"Percent",0.066
"70","Atascosa",2004,"Percent",0.27,"Percent",0.057
"71","Atascosa",2005,"Percent",0.288,"Percent",0.05
"72","Atascosa",2006,"Percent",0.302,"Percent",0.047
"73","Atascosa",2007,"Percent",0.256,"Percent",0.041
"74","Atascosa",2008,"Percent",0.278,"Percent",0.047
