Location,TimeFrame,DataFormat,Data
Anderson,2000,Number,11431
Anderson,2011,Number,11480
Andrews,2000,Number,4101
Andrews,2011,Number,4451
Angelina,2000,Number,22156
Angelina,2011,Number,23466
Aransas,2000,Number,5346
Aransas,2011,Number,4453
Archer,2000,Number,2496
Archer,2011,Number,2103
Armstrong,2000,Number,559
Armstrong,2011,Number,411
Atascosa,2000,Number,12255
Atascosa,2011,Number,13115
Austin,2000,Number,6375
Austin,2011,Number,7077
Bailey,2000,Number,1997
Bailey,2011,Number,2248
Bandera,2000,Number,4353
Bandera,2011,Number,3943
Bastrop,2000,Number,16144
Bastrop,2011,Number,19725
Baylor,2000,Number,958
Baylor,2011,Number,759
Bee,2000,Number,7565
Bee,2011,Number,6992
Bell,2000,Number,68738
Bell,2011,Number,90813
Bexar,2000,Number,396473
Bexar,2011,Number,473403
Blanco,2000,Number,2050
Blanco,2011,Number,2257
Borden,2000,Number,179
Borden,2011,Number,128
Bosque,2000,Number,4201
Bosque,2011,Number,4095
Bowie,2000,Number,22171
Bowie,2011,Number,22403
Brazoria,2000,Number,69103
Brazoria,2011,Number,88460
Brazos,2000,Number,32735
Brazos,2011,Number,41364
Brewster,2000,Number,1964
Brewster,2011,Number,1903
Briscoe,2000,Number,485
Briscoe,2011,Number,358
Brooks,2000,Number,2517
Brooks,2011,Number,1988
Brown,2000,Number,9731
Brown,2011,Number,9092
Burleson,2000,Number,4423
Burleson,2011,Number,4078
Burnet,2000,Number,8368
Burnet,2011,Number,9845
Caldwell,2000,Number,9126
Caldwell,2011,Number,9836
Calhoun,2000,Number,5880
Calhoun,2011,Number,5581
Callahan,2000,Number,3378
Callahan,2011,Number,3169
Cameron,2000,Number,113295
Cameron,2011,Number,135505
Camp,2000,Number,3102
Camp,2011,Number,3328
Carson,2000,Number,1816
Carson,2011,Number,1566
Cass,2000,Number,7569
Cass,2011,Number,6997
Castro,2000,Number,2744
Castro,2011,Number,2499
Chambers,2000,Number,7524
Chambers,2011,Number,10060
Cherokee,2000,Number,12276
Cherokee,2011,Number,13234
Childress,2000,Number,1699
Childress,2011,Number,1497
Clay,2000,Number,2735
Clay,2011,Number,2398
Cochran,2000,Number,1176
Cochran,2011,Number,882
Coke,2000,Number,942
Coke,2011,Number,673
Coleman,2000,Number,2182
Coleman,2011,Number,1945
Collin,2000,Number,141307
Collin,2011,Number,230052
Collingsworth,2000,Number,846
Collingsworth,2011,Number,842
Colorado,2000,Number,5219
Colorado,2011,Number,4910
Comal,2000,Number,19914
Comal,2011,Number,26053
Comanche,2000,Number,3551
Comanche,2011,Number,3317
Concho,2000,Number,638
Concho,2011,Number,576
Cooke,2000,Number,9942
Cooke,2011,Number,9759
Coryell,2000,Number,19673
Coryell,2011,Number,21565
Cottle,2000,Number,456
Cottle,2011,Number,342
Crane,2000,Number,1274
Crane,2011,Number,1268
Crockett,2000,Number,1185
Crockett,2011,Number,978
Crosby,2000,Number,2174
Crosby,2011,Number,1705
Culberson,2000,Number,957
Culberson,2011,Number,649
Dallam,2000,Number,1978
Dallam,2011,Number,2038
Dallas,2000,Number,619031
Dallas,2011,Number,660730
Dawson,2000,Number,3837
Dawson,2011,Number,3392
Deaf Smith,2000,Number,6181
Deaf Smith,2011,Number,6249
Delta,2000,Number,1363
Delta,2011,Number,1152
Denton,2000,Number,120110
Denton,2011,Number,187429
DeWitt,2000,Number,4760
DeWitt,2011,Number,4555
Dickens,2000,Number,512
Dickens,2011,Number,479
Dimmit,2000,Number,3401
Dimmit,2011,Number,3074
Donley,2000,Number,856
Donley,2011,Number,738
Duval,2000,Number,3868
Duval,2011,Number,3046
Eastland,2000,Number,4247
Eastland,2011,Number,4135
Ector,2000,Number,36820
Ector,2011,Number,40252
Edwards,2000,Number,616
