Location,TimeFrame,DataFormat,Data
Texas,2000,Number,20851820
Texas,2011,Number,25674681
Anderson,2000,Number,55109
Anderson,2011,Number,58727
Andrews,2000,Number,13004
Andrews,2011,Number,15327
Angelina,2000,Number,80130
Angelina,2011,Number,88214
Aransas,2000,Number,22497
Aransas,2011,Number,23334
Archer,2000,Number,8854
Archer,2011,Number,8913
Armstrong,2000,Number,2148
Armstrong,2011,Number,1935
Atascosa,2000,Number,38628
Atascosa,2011,Number,46363
Austin,2000,Number,23590
Austin,2011,Number,28673
Bailey,2000,Number,6594
Bailey,2011,Number,7264
Bandera,2000,Number,17645
Bandera,2011,Number,20676
Bastrop,2000,Number,57733
Bastrop,2011,Number,75906
Baylor,2000,Number,4093
Baylor,2011,Number,3746
Bee,2000,Number,32359
Bee,2011,Number,32310
Bell,2000,Number,237974
Bell,2011,Number,317759
Bexar,2000,Number,1392931
Bexar,2011,Number,1756262
Blanco,2000,Number,8418
Blanco,2011,Number,10672
Borden,2000,Number,729
Borden,2011,Number,646
Bosque,2000,Number,17204
Bosque,2011,Number,18356
Bowie,2000,Number,89306
Bowie,2011,Number,93275
Brazoria,2000,Number,241767
Brazoria,2011,Number,319949
Brazos,2000,Number,152415
Brazos,2011,Number,198311
Brewster,2000,Number,8866
Brewster,2011,Number,9333
Briscoe,2000,Number,1790
Briscoe,2011,Number,1652
Brooks,2000,Number,7976
Brooks,2011,Number,7272
Brown,2000,Number,37674
Brown,2011,Number,38341
Burleson,2000,Number,16470
Burleson,2011,Number,17469
Burnet,2000,Number,34147
Burnet,2011,Number,43348
Caldwell,2000,Number,32194
Caldwell,2011,Number,38583
Calhoun,2000,Number,20647
Calhoun,2011,Number,21460
Callahan,2000,Number,12905
Callahan,2011,Number,13516
Cameron,2000,Number,335227
Cameron,2011,Number,414348
Camp,2000,Number,11549
Camp,2011,Number,12467
Carson,2000,Number,6516
Carson,2011,Number,6281
Cass,2000,Number,30438
Cass,2011,Number,30401
Castro,2000,Number,8285
Castro,2011,Number,8120
Chambers,2000,Number,26031
Chambers,2011,Number,35996
Cherokee,2000,Number,46659
Childress,2000,Number,7688
Clay,2000,Number,11006
Cochran,2000,Number,3730
Coke,2000,Number,3864
Coleman,2000,Number,9235
Collin,2000,Number,491675
Collingsworth,2000,Number,3206
Colorado,2000,Number,20390
Comal,2000,Number,78021
Comanche,2000,Number,14026
Concho,2000,Number,3966
Cooke,2000,Number,36363
Coryell,2000,Number,74978
Cottle,2000,Number,1904
Crane,2000,Number,3996
Crockett,2000,Number,4099
Crosby,2000,Number,7072
Culberson,2000,Number,2975
Dallam,2000,Number,6222
Dallas,2000,Number,2218899
Dawson,2000,Number,14985
Deaf Smith,2000,Number,18561
Delta,2000,Number,5327
Denton,2000,Number,432976
DeWitt,2000,Number,20013
Dickens,2000,Number,2762
Dimmit,2000,Number,10248
Donley,2000,Number,3828
Duval,2000,Number,13120
Eastland,2000,Number,18297
Ector,2000,Number,121123
Edwards,2000,Number,2162
Ellis,2000,Number,111360
El Paso,2000,Number,679622
Erath,2000,Number,33001
Falls,2000,Number,18576
Fannin,2000,Number,31242
Fayette,2000,Number,21804
Fisher,2000,Number,4344
Floyd,2000,Number,7771
Foard,2000,Number,1622
Fort Bend,2000,Number,354452
Franklin,2000,Number,9458
Freestone,2000,Number,17867
Frio,2000,Number,16252
Gaines,2000,Number,14467
Galveston,2000,Number,250158
Garza,2000,Number,4872
Gillespie,2000,Number,20814
Glasscock,2000,Number,1406
Goliad,2000,Number,6928
Gonzales,2000,Number,18628
Gray,2000,Number,22744
Grayson,2000,Number,110595
Gregg,2000,Number,111379
Grimes,2000,Number,23552
Guadalupe,2000,Number,89023
Hale,2000,Number,36602
Hall,2000,Number,3782
Hamilton,2000,Number,8229
Hansford,2000,Number,5369
Hardeman,2000,Number,4724
Hardin,2000,Number,48073
Harris,2000,Number,3400578
Harrison,2000,Number,62110
Hartley,2000,Number,5537
Haskell,2000,Number,6093
Hays,2000,Number,97589
Hemphill,2000,Number,3351
Henderson,2000,Number,73277
Hidalgo,2000,Number,569463
Hill,2000,Number,32321
Hockley,2000,Number,22716
Hood,2000,Number,41100
Cherokee,2011,Number,51298
Childress,2011,Number,7065
Clay,2011,Number,10791
Cochran,2011,Number,3110
Coke,2011,Number,3320
Coleman,2011,Number,8919
Collin,2011,Number,812435
Collingsworth,2011,Number,3075
Colorado,2011,Number,20914
Comal,2011,Number,112171
Comanche,2011,Number,13983
Concho,2011,Number,4138
Cooke,2011,Number,38675
Coryell,2011,Number,76313
Cottle,2011,Number,1518
Crane,2011,Number,4409
Crockett,2011,Number,3734
Crosby,2011,Number,6078
Culberson,2011,Number,2393
Dallam,2011,Number,6868
Dallas,2011,Number,2403579
Dawson,2011,Number,13849
Deaf Smith,2011,Number,19569
Delta,2011,Number,5224
Denton,2011,Number,686455
DeWitt,2011,Number,20574
Dickens,2011,Number,2441
Dimmit,2011,Number,10472
Donley,2011,Number,3686
Duval,2011,Number,11806
Eastland,2011,Number,18564
Ector,2011,Number,139259
Edwards,2011,Number,2017
