"","Location","TimeFrame","DataFormat","Child","Unemployment"
"1","Anderson",2000,"Number",2558,901
"2","Anderson",2000,"Percent",0.226,0.047
"3","Anderson",2001,"Number",2524,775
"4","Anderson",2001,"Percent",0.222,0.04
"5","Anderson",2002,"Number",2622,1041
"6","Anderson",2002,"Percent",0.228,0.054
"7","Anderson",2003,"Number",2772,1111
"8","Anderson",2003,"Percent",0.241,0.056
"9","Anderson",2004,"Number",2782,1494
"10","Anderson",2004,"Percent",0.245,0.072
"11","Anderson",2005,"Number",3107,1289
"12","Anderson",2005,"Percent",0.278,0.064
"13","Anderson",2006,"Number",2718,1225
"14","Anderson",2006,"Percent",0.243,0.059
"15","Anderson",2007,"Number",2599,1054
"16","Anderson",2007,"Percent",0.234,0.052
"17","Anderson",2008,"Number",2674,1167
"18","Anderson",2008,"Percent",0.241,0.057
"19","Anderson",2009,"Number",2917,1841
"20","Anderson",2009,"Percent",0.258,0.088
"21","Anderson",2010,"Number",3072,2001
"22","Anderson",2010,"Percent",0.272,0.095
"23","Anderson",2011,"Number",3051,1980
"24","Anderson",2011,"Percent",0.27,0.091
"25","Andrews",2000,"Number",775,291
"26","Andrews",2000,"Percent",0.196,0.058
"27","Andrews",2001,"Number",713,190
"28","Andrews",2001,"Percent",0.183,0.039
"29","Andrews",2002,"Number",684,282
"30","Andrews",2002,"Percent",0.18,0.055
"31","Andrews",2003,"Number",761,300
"32","Andrews",2003,"Percent",0.205,0.054
"33","Andrews",2004,"Number",728,316
"34","Andrews",2004,"Percent",0.201,0.051
"35","Andrews",2005,"Number",744,277
"36","Andrews",2005,"Percent",0.208,0.043
"37","Andrews",2006,"Number",674,245
"38","Andrews",2006,"Percent",0.187,0.035
"39","Andrews",2007,"Number",756,221
"40","Andrews",2007,"Percent",0.209,0.032
"41","Andrews",2008,"Number",672,228
"42","Andrews",2008,"Percent",0.178,0.034
"43","Andrews",2009,"Number",727,496
"44","Andrews",2009,"Percent",0.171,0.071
"45","Andrews",2010,"Number",832,426
"46","Andrews",2010,"Percent",0.194,0.06
"47","Andrews",2011,"Number",836,388
"48","Andrews",2011,"Percent",0.184,0.05
"49","Angelina",2000,"Number",5026,1823
"50","Angelina",2000,"Percent",0.228,0.051
"51","Angelina",2001,"Number",5221,2090
"52","Angelina",2001,"Percent",0.237,0.058
"53","Angelina",2002,"Number",5245,2494
"54","Angelina",2002,"Percent",0.235,0.068
"55","Angelina",2003,"Number",5556,2512
"56","Angelina",2003,"Percent",0.249,0.067
"57","Angelina",2004,"Number",5450,2715
"58","Angelina",2004,"Percent",0.246,0.066
"59","Angelina",2005,"Number",6505,2198
"60","Angelina",2005,"Percent",0.298,0.056
"61","Angelina",2006,"Number",5237,1914
"62","Angelina",2006,"Percent",0.24,0.047
"63","Angelina",2007,"Number",6956,1765
"64","Angelina",2007,"Percent",0.319,0.044
"65","Angelina",2008,"Number",6585,1906
"66","Angelina",2008,"Percent",0.301,0.049
"67","Angelina",2009,"Number",5654,3335
"68","Angelina",2009,"Percent",0.254,0.083
"69","Angelina",2010,"Number",6178,3233
"70","Angelina",2010,"Percent",0.27,0.08
"71","Angelina",2011,"Number",6608,3114
"72","Angelina",2011,"Percent",0.287,0.077
"73","Aransas",2000,"Number",1732,579
"74","Aransas",2000,"Percent",0.331,0.06
"75","Aransas",2001,"Number",1690,597
"76","Aransas",2001,"Percent",0.319,0.058
"77","Aransas",2002,"Number",1582,662
"78","Aransas",2002,"Percent",0.296,0.065
"79","Aransas",2003,"Number",1632,750
"80","Aransas",2003,"Percent",0.307,0.072
"81","Aransas",2004,"Number",1649,919
"82","Aransas",2004,"Percent",0.307,0.084
"83","Aransas",2005,"Number",1920,585
"84","Aransas",2005,"Percent",0.363,0.054
"85","Aransas",2006,"Number",1951,537
"86","Aransas",2006,"Percent",0.378,0.048
"87","Aransas",2007,"Number",1651,464
"88","Aransas",2007,"Percent",0.322,0.042
"89","Aransas",2008,"Number",1698,511
"90","Aransas",2008,"Percent",0.331,0.045
