Location,TimeFrame,DataFormat,Data
Texas,1989,Number,1159710
Texas,1993,Number,1539249
Texas,1995,Number,1502026
Texas,1997,Number,1350837
Texas,1998,Number,1298486
Texas,1999,Number,1189935
Texas,2000,Number,1237626
Texas,2001,Number,1294807
Texas,2002,Number,1325620
Texas,2003,Number,1425828
Texas,2004,Number,1431931
Texas,2005,Number,1537475
Texas,1989,Percent,0.243
Texas,1993,Percent,0.286
Texas,1995,Percent,0.269
Texas,1997,Percent,0.236
Texas,1998,Percent,0.224
Texas,1999,Percent,0.205
Texas,2000,Percent,0.207
Texas,2001,Percent,0.212
Texas,2002,Percent,0.213
Texas,2003,Percent,0.228
Texas,2004,Percent,0.227
Texas,2005,Percent,0.247
Texas,2006,Number,1520101
Texas,2006,Percent,0.238
Texas,2007,Number,1508771
Texas,2007,Percent,0.231
Texas,2008,Number,1492668
Texas,2008,Percent,0.225
Texas,2009,Number,1655085
Texas,2009,Percent,0.243
Texas,2010,Number,1746564
Texas,2010,Percent,0.257
Texas,2011,Number,1825007
Texas,2011,Percent,0.266
Anderson,1989,Number,2745
Anderson,1993,Number,2933
Anderson,1995,Number,2990
Anderson,1997,Number,2913
Anderson,1998,Number,2839
Anderson,1999,Number,2476
Anderson,2000,Number,2558
Anderson,2001,Number,2524
Anderson,2002,Number,2622
Anderson,2003,Number,2772
Anderson,2004,Number,2782
Anderson,2005,Number,3107
Anderson,1989,Percent,0.248
Anderson,1993,Percent,0.248
Anderson,1995,Percent,0.248
Anderson,1997,Percent,0.24
Anderson,1998,Percent,0.235
Anderson,1999,Percent,0.22
Anderson,2000,Percent,0.226
Anderson,2001,Percent,0.222
Anderson,2002,Percent,0.228
Anderson,2003,Percent,0.241
Anderson,2004,Percent,0.245
Anderson,2005,Percent,0.278
Anderson,2006,Number,2718
Anderson,2006,Percent,0.243
Anderson,2007,Number,2599
Anderson,2007,Percent,0.234
Anderson,2008,Number,2674
Anderson,2008,Percent,0.241
Anderson,2009,Number,2917
Anderson,2009,Percent,0.258
Anderson,2010,Number,3072
Anderson,2010,Percent,0.272
Anderson,2011,Number,3051
Anderson,2011,Percent,0.27
Andrews,1989,Number,1074
Andrews,1993,Number,1083
Andrews,1995,Number,1132
Andrews,1997,Number,994
Andrews,1998,Number,950
Andrews,1999,Number,842
Andrews,2000,Number,775
Andrews,2001,Number,713
Andrews,2002,Number,684
Andrews,2003,Number,761
Andrews,2004,Number,728
Andrews,2005,Number,744
Andrews,1989,Percent,0.219
Andrews,1993,Percent,0.213
Andrews,1995,Percent,0.226
Andrews,1997,Percent,0.201
Andrews,1998,Percent,0.199
Andrews,1999,Percent,0.208
Andrews,2000,Percent,0.196
Andrews,2001,Percent,0.183
Andrews,2002,Percent,0.18
Andrews,2003,Percent,0.205
Andrews,2004,Percent,0.201
Andrews,2005,Percent,0.208
Andrews,2006,Number,674
Andrews,2006,Percent,0.187
Andrews,2007,Number,756
Andrews,2007,Percent,0.209
Andrews,2008,Number,672
Andrews,2008,Percent,0.178
Andrews,2009,Number,727
Andrews,2009,Percent,0.171
Andrews,2010,Number,832
Andrews,2010,Percent,0.194
Andrews,2011,Number,836
Andrews,2011,Percent,0.184
Angelina,1989,Number,5021
Angelina,1993,Number,5535
Angelina,1995,Number,5626
Angelina,1997,Number,5421
Angelina,1998,Number,5377
Angelina,1999,Number,4842
Angelina,2000,Number,5026
Angelina,2001,Number,5221
Angelina,2002,Number,5245
Angelina,2003,Number,5556
Angelina,2004,Number,5450
Angelina,2005,Number,6505
Angelina,1989,Percent,0.253
Angelina,1993,Percent,0.254
Angelina,1995,Percent,0.254
Angelina,1997,Percent,0.241
Angelina,1998,Percent,0.241
Angelina,1999,Percent,0.222
Angelina,2000,Percent,0.228
Angelina,2001,Percent,0.237
Angelina,2002,Percent,0.235
Angelina,2003,Percent,0.249
Angelina,2004,Percent,0.246
Angelina,2005,Percent,0.298
Angelina,2006,Number,5237
Angelina,2006,Percent,0.24
Angelina,2007,Number,6956
Angelina,2007,Percent,0.319
Angelina,2008,Number,6585
Angelina,2008,Percent,0.301
Angelina,2009,Number,5654
Angelina,2009,Percent,0.254
Angelina,2010,Number,6178
Angelina,2010,Percent,0.27
Angelina,2011,Number,6608
Angelina,2011,Percent,0.287
Aransas,1989,Number,1694
Aransas,1993,Number,1828
Aransas,1995,Number,1962
Aransas,1997,Number,2056
Aransas,1998,Number,1758
Aransas,1999,Number,1679
Aransas,2000,Number,1732
Aransas,2001,Number,1690
Aransas,2002,Number,1582
Aransas,2003,Number,1632
Aransas,2004,Number,1649
Aransas,2005,Number,1920
Aransas,1989,Percent,0.39
Aransas,1993,Percent,0.347
Aransas,1995,Percent,0.354
Aransas,1997,Percent,0.36
Aransas,1998,Percent,0.305
Aransas,1999,Percent,0.315
Aransas,2000,Percent,0.331
Aransas,2001,Percent,0.319
Aransas,2002,Percent,0.296
Aransas,2003,Percent,0.307
Aransas,2004,Percent,0.307
Aransas,2005,Percent,0.363
Aransas,2006,Number,1951
Aransas,2006,Percent,0.378
Aransas,2007,Number,1651
Aransas,2007,Percent,0.322
Aransas,2008,Number,1698
Aransas,2008,Percent,0.331
Aransas,2009,Number,1789
Aransas,2009,Percent,0.354
Aransas,2010,Number,1827
Aransas,2010,Percent,0.412
Aransas,2011,Number,1674
Aransas,2011,Percent,0.377
Archer,1989,Number,317
Archer,1993,Number,319
Archer,1995,Number,317
Archer,1997,Number,307
Archer,1998,Number,360
Archer,1999,Number,251
Archer,2000,Number,327
Archer,2001,Number,301
Archer,2002,Number,227
Archer,2003,Number,273
Archer,2004,Number,302
Archer,2005,Number,308
Archer,1989,Percent,0.141
Archer,1993,Percent,0.14
Archer,1995,Percent,0.136
Archer,1997,Percent,0.132
Archer,1998,Percent,0.156
Archer,1999,Percent,0.102
Archer,2000,Percent,0.134
Archer,2001,Percent,0.125
Archer,2002,Percent,0.095
Archer,2003,Percent,0.118
Archer,2004,Percent,0.131
Archer,2005,Percent,0.135
Archer,2006,Number,268
Archer,2006,Percent,0.121
Archer,2007,Number,230
Archer,2007,Percent,0.108
Archer,2008,Number,239
Archer,2008,Percent,0.115
Archer,2009,Number,301
Archer,2009,Percent,0.137
Archer,2010,Number,328
Archer,2010,Percent,0.152
Archer,2011,Number,340
Archer,2011,Percent,0.166
Armstrong,1989,Number,91
Armstrong,1993,Number,74
Armstrong,1995,Number,77
Armstrong,1997,Number,86
Armstrong,1998,Number,86
Armstrong,1999,Number,95
Armstrong,2000,Number,109
Armstrong,2001,Number,79
Armstrong,2002,Number,69
Armstrong,2003,Number,67
Armstrong,2004,Number,69
Armstrong,2005,Number,80
Armstrong,1989,Percent,0.162
Armstrong,1993,Percent,0.126
Armstrong,1995,Percent,0.127
Armstrong,1997,Percent,0.137
Armstrong,1998,Percent,0.137
Armstrong,1999,Percent,0.172
Armstrong,2000,Percent,0.197
Armstrong,2001,Percent,0.151
Armstrong,2002,Percent,0.135
Armstrong,2003,Percent,0.131
Armstrong,2004,Percent,0.142
Armstrong,2005,Percent,0.168
Armstrong,2006,Number,77
Armstrong,2006,Percent,0.169
Armstrong,2007,Number,67
Armstrong,2007,Percent,0.152
Armstrong,2008,Number,67
Armstrong,2008,Percent,0.148
Armstrong,2009,Number,70
Armstrong,2009,Percent,0.142
Armstrong,2010,Number,49
Armstrong,2010,Percent,0.116
Armstrong,2011,Number,67
Armstrong,2011,Percent,0.159
Atascosa,1989,Number,3954
Atascosa,1993,Number,3781
Atascosa,1995,Number,3984
Atascosa,1997,Number,3821
Atascosa,1998,Number,3871
Atascosa,1999,Number,3118
Atascosa,2000,Number,3365
Atascosa,2001,Number,3352
Atascosa,2002,Number,3323
Atascosa,2003,Number,3503
Atascosa,2004,Number,3385
Atascosa,2005,Number,3553
Atascosa,1989,Percent,0.397
Atascosa,1993,Percent,0.344
Atascosa,1995,Percent,0.343
Atascosa,1997,Percent,0.312
Atascosa,1998,Percent,0.308
Atascosa,1999,Percent,0.258
Atascosa,2000,Percent,0.272
Atascosa,2001,Percent,0.265
Atascosa,2002,Percent,0.261
Atascosa,2003,Percent,0.279
Atascosa,2004,Percent,0.27
Atascosa,2005,Percent,0.288
Atascosa,2006,Number,3714
Atascosa,2006,Percent,0.302
Atascosa,2007,Number,3144
Atascosa,2007,Percent,0.256
Atascosa,2008,Number,3381
Atascosa,2008,Percent,0.278
Atascosa,2009,Number,3691
Atascosa,2009,Percent,0.288
Atascosa,2010,Number,3893
Atascosa,2010,Percent,0.305
Atascosa,2011,Number,4144
Atascosa,2011,Percent,0.322
Austin,1989,Number,965
Austin,1993,Number,1086
Austin,1995,Number,1159
Austin,1997,Number,1159
Austin,1998,Number,1109
Austin,1999,Number,893
Austin,2000,Number,1010
Austin,2001,Number,1019
Austin,2002,Number,863
Austin,2003,Number,996
Austin,2004,Number,1002
Austin,2005,Number,1047
Austin,1989,Percent,0.182
Austin,1993,Percent,0.181
Austin,1995,Percent,0.187
Austin,1997,Percent,0.177
Austin,1998,Percent,0.166
Austin,1999,Percent,0.141
Austin,2000,Percent,0.157
Austin,2001,Percent,0.158
Austin,2002,Percent,0.133
Austin,2003,Percent,0.15
Austin,2004,Percent,0.154
Austin,2005,Percent,0.163
Austin,2006,Number,1026
Austin,2006,Percent,0.16
Austin,2007,Number,982
Austin,2007,Percent,0.15
Austin,2008,Number,976
Austin,2008,Percent,0.149
Austin,2009,Number,1116
Austin,2009,Percent,0.162
Austin,2010,Number,1281
Austin,2010,Percent,0.183
Austin,2011,Number,1415
Austin,2011,Percent,0.202
Bailey,1989,Number,693
Bailey,1993,Number,647
Bailey,1995,Number,742
Bailey,1997,Number,750
Bailey,1998,Number,677
Bailey,1999,Number,424
Bailey,2000,Number,556
Bailey,2001,Number,569
Bailey,2002,Number,541
Bailey,2003,Number,546
Bailey,2004,Number,519
Bailey,2005,Number,590
Bailey,1989,Percent,0.33
Bailey,1993,Percent,0.294
Bailey,1995,Percent,0.329
Bailey,1997,Percent,0.337
Bailey,1998,Percent,0.312
Bailey,1999,Percent,0.214
Bailey,2000,Percent,0.278
Bailey,2001,Percent,0.285
Bailey,2002,Percent,0.263
Bailey,2003,Percent,0.273
Bailey,2004,Percent,0.257
Bailey,2005,Percent,0.296
Bailey,2006,Number,608
Bailey,2006,Percent,0.304
Bailey,2007,Number,582
Bailey,2007,Percent,0.304
Bailey,2008,Number,516
Bailey,2008,Percent,0.273
Bailey,2009,Number,561
Bailey,2009,Percent,0.28
Bailey,2010,Number,656
Bailey,2010,Percent,0.302
