Location,TimeFrame,DataFormat,Data
Texas,1990,Number,4835839
Texas,1991,Number,4971769
Texas,1992,Number,5076061
Texas,1993,Number,5198203
Texas,1994,Number,5311112
Texas,1995,Number,5405550
Texas,1996,Number,5528757
Texas,1997,Number,5618202
Texas,1998,Number,5692222
Texas,1999,Number,5762614
Texas,2000,Number,5886759
Texas,2001,Number,5968378
Texas,2002,Number,6051933
Texas,2003,Number,6108755
Texas,2004,Number,6172624
Texas,2005,Number,6238177
Texas,2006,Number,6376714
Texas,2007,Number,6438744
Texas,2008,Number,6495224
Texas,2009,Number,6557436
Texas,2010,Number,6865824
Texas,2011,Number,6952177
Anderson,1990,Number,11280
Anderson,1991,Number,11469
Anderson,1992,Number,11654
Anderson,1993,Number,11421
Anderson,1994,Number,11332
Anderson,1995,Number,11271
Anderson,1996,Number,11375
Anderson,1997,Number,11570
Anderson,1998,Number,11412
Anderson,1999,Number,11179
Anderson,2000,Number,11431
Anderson,2001,Number,11316
Anderson,2002,Number,11338
Anderson,2003,Number,11250
Anderson,2004,Number,11301
Anderson,2005,Number,11258
Anderson,2006,Number,11274
Anderson,2007,Number,11272
Anderson,2008,Number,11237
Anderson,2009,Number,11267
Anderson,2010,Number,11475
Anderson,2011,Number,11480
Andrews,1990,Number,4963
Andrews,1991,Number,4994
Andrews,1992,Number,4927
Andrews,1993,Number,4872
Andrews,1994,Number,4612
Andrews,1995,Number,4530
Andrews,1996,Number,4487
Andrews,1997,Number,4437
Andrews,1998,Number,4274
Andrews,1999,Number,4137
Andrews,2000,Number,4101
Andrews,2001,Number,3993
Andrews,2002,Number,3910
Andrews,2003,Number,3753
Andrews,2004,Number,3682
Andrews,2005,Number,3604
Andrews,2006,Number,3673
Andrews,2007,Number,3669
Andrews,2008,Number,3821
Andrews,2009,Number,3893
Andrews,2010,Number,4312
Andrews,2011,Number,4451
Angelina,1990,Number,20015
Angelina,1991,Number,20308
Angelina,1992,Number,20603
Angelina,1993,Number,20475
Angelina,1994,Number,20531
Angelina,1995,Number,21019
Angelina,1996,Number,21025
Angelina,1997,Number,21702
Angelina,1998,Number,21546
Angelina,1999,Number,21429
Angelina,2000,Number,22156
Angelina,2001,Number,22330
Angelina,2002,Number,22357
Angelina,2003,Number,22190
