Location,TimeFrame,DataFormat,Data
Texas,1990,Number,16986510
Texas,1991,Number,17349000
Texas,1992,Number,17655650
Texas,1993,Number,18031484
Texas,1994,Number,18378185
Texas,1995,Number,18723991
Texas,1996,Number,19128261
Texas,1997,Number,19439337
Texas,1998,Number,19759614
Texas,1999,Number,20044141
Texas,2000,Number,20851820
Texas,2001,Number,21325018
Texas,2002,Number,21779893
Texas,2003,Number,22118509
Texas,2004,Number,22490022
Texas,2005,Number,22859968
Texas,2006,Number,23507783
Texas,2007,Number,23904380
Texas,2009,Number,24782302
Texas,2008,Number,24326974
Texas,2010,Number,25145561
Texas,2011,Number,25674681
Anderson,1990,Number,48024
Anderson,1991,Number,48734
Anderson,1992,Number,49659
Anderson,1993,Number,49880
Anderson,1994,Number,50029
Anderson,1995,Number,51420
Anderson,1996,Number,52031
Anderson,1997,Number,52949
Anderson,1998,Number,52848
Anderson,1999,Number,52554
Anderson,2000,Number,55109
Anderson,2001,Number,55013
Anderson,2002,Number,55658
Anderson,2003,Number,55618
Anderson,2004,Number,56024
Anderson,2005,Number,55965
Anderson,2006,Number,56202
Anderson,2007,Number,56353
Anderson,2009,Number,56810
Anderson,2008,Number,56445
Anderson,2010,Number,58458
Anderson,2011,Number,58727
Andrews,1990,Number,14338
Andrews,1991,Number,14647
Andrews,1992,Number,14672
Andrews,1993,Number,14802
Andrews,1994,Number,14386
Andrews,1995,Number,14384
Andrews,1996,Number,14532
Andrews,1997,Number,14662
Andrews,1998,Number,14476
Andrews,1999,Number,14345
Andrews,2000,Number,13004
Andrews,2001,Number,12963
Andrews,2002,Number,13030
Andrews,2003,Number,12946
Andrews,2004,Number,12893
Andrews,2005,Number,12763
Andrews,2006,Number,13154
Andrews,2007,Number,13320
Andrews,2009,Number,14156
Andrews,2008,Number,13908
Andrews,2010,Number,14786
Andrews,2011,Number,15327
Angelina,1990,Number,69884
Angelina,1991,Number,71069
Angelina,1992,Number,72357
Angelina,1993,Number,73087
Angelina,1994,Number,73701
Angelina,1995,Number,75426
Angelina,1996,Number,75924
Angelina,1997,Number,78115
Angelina,1998,Number,78384
Angelina,1999,Number,78512
Angelina,2000,Number,80130
Angelina,2001,Number,81144
Angelina,2002,Number,81501
Angelina,2003,Number,81332
Angelina,2004,Number,81800
Angelina,2005,Number,82055
Angelina,2006,Number,82424
Angelina,2007,Number,82734
Angelina,2009,Number,83727
Angelina,2008,Number,83083
Angelina,2010,Number,86771
Angelina,2011,Number,88214
Aransas,1990,Number,17892
Aransas,1991,Number,18214
Aransas,1992,Number,18455
Aransas,1993,Number,18545
Aransas,1994,Number,20458
Aransas,1995,Number,19952
Aransas,1996,Number,20854
Aransas,1997,Number,21023
Aransas,1998,Number,21468
Aransas,1999,Number,21792
Aransas,2000,Number,22497
Aransas,2001,Number,22743
Aransas,2002,Number,23153
Aransas,2003,Number,23877
Aransas,2004,Number,24087
Aransas,2005,Number,24521
Aransas,2006,Number,24900
Aransas,2007,Number,25232
Aransas,2009,Number,25507
Aransas,2008,Number,25327
Aransas,2010,Number,23158
Aransas,2011,Number,23334
Archer,1990,Number,7973
Archer,1991,Number,8012
Archer,1992,Number,8022
Archer,1993,Number,8058
Archer,1994,Number,8189
Archer,1995,Number,8351
Archer,1996,Number,8594
Archer,1997,Number,8657
Archer,1998,Number,8738
Archer,1999,Number,8719
Archer,2000,Number,8854
Archer,2001,Number,9008
Archer,2002,Number,8885
Archer,2003,Number,9164
Archer,2004,Number,9255
Archer,2005,Number,9172
Archer,2006,Number,9065
Archer,2007,Number,9136
Archer,2009,Number,9425
Archer,2008,Number,9248
Archer,2010,Number,9054
Archer,2011,Number,8913
Armstrong,1990,Number,2021
Armstrong,1991,Number,2079
Armstrong,1992,Number,2096
Armstrong,1993,Number,2071
Armstrong,1994,Number,2099
Armstrong,1995,Number,2111
Armstrong,1996,Number,2192
Armstrong,1997,Number,2137
Armstrong,1998,Number,2045
Armstrong,1999,Number,2237
Armstrong,2000,Number,2148
Armstrong,2001,Number,2134
Armstrong,2002,Number,2147
Armstrong,2003,Number,2102
Armstrong,2004,Number,2158
Armstrong,2005,Number,2150
Armstrong,2006,Number,2170
Armstrong,2007,Number,2183
Armstrong,2009,Number,2191
Armstrong,2008,Number,2193
Armstrong,2010,Number,1901
Armstrong,2011,Number,1935
Atascosa,1990,Number,30533
Atascosa,1991,Number,31988
Atascosa,1992,Number,32157
Atascosa,1993,Number,31982
Atascosa,1994,Number,32773
Atascosa,1995,Number,33234
Atascosa,1996,Number,34152
Atascosa,1997,Number,34810
Atascosa,1998,Number,35294
Atascosa,1999,Number,36287
Atascosa,2000,Number,38628
Atascosa,2001,Number,39701
Atascosa,2002,Number,40355
Atascosa,2003,Number,41187
Atascosa,2004,Number,42632
Atascosa,2005,Number,41892
Atascosa,2006,Number,42414
Atascosa,2007,Number,43074
Atascosa,2009,Number,44727
Atascosa,2008,Number,43829
Atascosa,2010,Number,44911
Atascosa,2011,Number,46363
Austin,1990,Number,19832
Austin,1991,Number,20162
Austin,1992,Number,20428
Austin,1993,Number,20620
Austin,1994,Number,21710
Austin,1995,Number,22041
Austin,1996,Number,22969
Austin,1997,Number,22862
Austin,1998,Number,23285
Austin,1999,Number,23570
Austin,2000,Number,23590
Austin,2001,Number,24031
Austin,2002,Number,25182
Austin,2003,Number,25284
Austin,2004,Number,25814
Austin,2005,Number,26151
Austin,2006,Number,26928
Austin,2007,Number,27095
Austin,2009,Number,27412
Austin,2008,Number,27270
Austin,2010,Number,28417
Austin,2011,Number,28673
Bailey,1990,Number,7064
Bailey,1991,Number,7040
Bailey,1992,Number,7184
Bailey,1993,Number,7285
Bailey,1994,Number,6980
Bailey,1995,Number,6773
Bailey,1996,Number,6841
Bailey,1997,Number,6794
Bailey,1998,Number,6546
Bailey,1999,Number,6560
Bailey,2000,Number,6594
Bailey,2001,Number,6471
Bailey,2002,Number,6348
Bailey,2003,Number,6369
Bailey,2004,Number,6564
Bailey,2005,Number,6551
Bailey,2006,Number,6514
Bailey,2007,Number,6270
Bailey,2009,Number,6344
Bailey,2008,Number,6283
Bailey,2010,Number,7165
Bailey,2011,Number,7264
Bandera,1990,Number,10562
Bandera,1991,Number,11012
Bandera,1992,Number,10932
Bandera,1993,Number,11288
Bandera,1994,Number,12366
Bandera,1995,Number,13010
Bandera,1996,Number,14373
Bandera,1997,Number,14598
Bandera,1998,Number,15505
Bandera,1999,Number,16195
Bandera,2000,Number,17645
Bandera,2001,Number,18168
Bandera,2002,Number,18976
Bandera,2003,Number,19254
Bandera,2004,Number,19519
Bandera,2005,Number,19529
Bandera,2006,Number,19773
Bandera,2007,Number,20245
Bandera,2009,Number,20729
Bandera,2008,Number,20314
Bandera,2010,Number,20485
Bandera,2011,Number,20676
Bastrop,1990,Number,38263
Bastrop,1991,Number,39525
Bastrop,1992,Number,39954
Bastrop,1993,Number,39975
Bastrop,1994,Number,42350
Bastrop,1995,Number,43972
Bastrop,1996,Number,46738
Bastrop,1997,Number,48178
Bastrop,1998,Number,51010
Bastrop,1999,Number,52442
Bastrop,2000,Number,57733
Bastrop,2001,Number,62042
Bastrop,2002,Number,63471
Bastrop,2003,Number,66988
Bastrop,2004,Number,68290
Bastrop,2005,Number,69516
Bastrop,2006,Number,71726
Bastrop,2007,Number,72320
Bastrop,2009,Number,74912
Bastrop,2008,Number,73382
Bastrop,2010,Number,74171
Bastrop,2011,Number,75906
Baylor,1990,Number,4385
Baylor,1991,Number,4313
Baylor,1992,Number,4396
Baylor,1993,Number,4288
Baylor,1994,Number,4294
Baylor,1995,Number,4406
Baylor,1996,Number,4289
Baylor,1997,Number,4313
Baylor,1998,Number,4127
Baylor,1999,Number,4228
Baylor,2000,Number,4093
Baylor,2001,Number,4083
Baylor,2002,Number,4045
Baylor,2003,Number,4041
Baylor,2004,Number,4055
Baylor,2005,Number,4020
Baylor,2006,Number,4041
Baylor,2007,Number,4047
Baylor,2009,Number,3950
Baylor,2008,Number,3943
Baylor,2010,Number,3726
Baylor,2011,Number,3746
Bee,1990,Number,25135
Bee,1991,Number,25409
Bee,1992,Number,25536
Bee,1993,Number,27875
Bee,1994,Number,25609
Bee,1995,Number,27266
Bee,1996,Number,27590
Bee,1997,Number,27633
Bee,1998,Number,27507
Bee,1999,Number,27236
Bee,2000,Number,32359
Bee,2001,Number,32330
Bee,2002,Number,32413
Bee,2003,Number,32958
Bee,2004,Number,33210
Bee,2005,Number,33211
Bee,2006,Number,33207
Bee,2007,Number,33092
Bee,2009,Number,33196
Bee,2008,Number,33117
Bee,2010,Number,31861
Bee,2011,Number,32310
Bell,1990,Number,191088
Bell,1991,Number,182726
Bell,1992,Number,195494
Bell,1993,Number,203684
Bell,1994,Number,212161
Bell,1995,Number,215502
Bell,1996,Number,222146
Bell,1997,Number,225419
Bell,1998,Number,228884
Bell,1999,Number,228392
Bell,2000,Number,237974
Bell,2001,Number,243386
Bell,2002,Number,246685
Bell,2003,Number,250321
Bell,2004,Number,252001
Bell,2005,Number,260526
Bell,2006,Number,269073
Bell,2007,Number,274881
Bell,2009,Number,284408
Bell,2008,Number,282534
Bell,2010,Number,310235
Bell,2011,Number,317759
Bexar,1990,Number,1185394
Bexar,1991,Number,1213028
Bexar,1992,Number,1233289
Bexar,1993,Number,1260287
