Location,TimeFrame,DataFormat,Data
Texas,1990,Number,544483
Texas,1990,Percent,0.063
Texas,1991,Percent,0.067
Texas,1991,Number,590334
Texas,1992,Number,690561
Texas,1992,Percent,0.077
Texas,1993,Percent,0.072
Texas,1993,Number,657035
Texas,1994,Percent,0.064
Texas,1994,Number,606007
Texas,1995,Percent,0.06
Texas,1995,Number,577420
Texas,1996,Number,544463
Texas,1996,Percent,0.056
Texas,1997,Percent,0.054
Texas,1997,Number,528985
Texas,1998,Percent,0.048
Texas,1998,Number,485737
Texas,1999,Percent,0.046
Texas,1999,Number,472234
Texas,2000,Percent,0.042
Texas,2000,Number,437488
Texas,2001,Percent,0.049
Texas,2001,Number,507442
Texas,2002,Number,680864
Texas,2002,Percent,0.063
Texas,2003,Percent,0.068
Texas,2003,Number,737516
Texas,2004,Percent,0.061
Texas,2004,Number,672397
Texas,2005,Percent,0.053
Texas,2005,Number,596276
Texas,2006,Number,565823
Texas,2006,Percent,0.049
Texas,2007,Percent,0.043
Texas,2007,Number,499594
Texas,2008,Number,575149
Texas,2008,Percent,0.049
Texas,2009,Percent,0.076
Texas,2009,Number,910621
Texas,2010,Percent,0.082
Texas,2011,Percent,0.079
Texas,2011,Number,986979
Texas,2012,Percent,0.068
Texas,2012,Number,854865
Texas,2010,Number,994481
Anderson,2010,Number,2001
Anderson,2012,Number,1703
Anderson,2012,Percent,0.077
Anderson,2011,Number,1980
Anderson,2011,Percent,0.091
Anderson,2010,Percent,0.095
Anderson,2009,Number,1841
Anderson,2009,Percent,0.088
Anderson,2008,Percent,0.057
Anderson,2008,Number,1167
Anderson,2007,Percent,0.052
Anderson,2007,Number,1054
Anderson,2006,Percent,0.059
Anderson,2006,Number,1225
Anderson,2005,Percent,0.064
Anderson,2005,Number,1289
Anderson,2004,Percent,0.072
Anderson,2004,Number,1494
Anderson,2003,Number,1111
Anderson,2003,Percent,0.056
Anderson,2002,Percent,0.054
Anderson,2002,Number,1041
Anderson,2001,Number,775
Anderson,2001,Percent,0.04
Anderson,2000,Number,901
Anderson,2000,Percent,0.047
Anderson,1999,Percent,0.061
Anderson,1999,Number,1254
Anderson,1998,Percent,0.057
Anderson,1998,Number,1195
Anderson,1997,Number,1162
Anderson,1997,Percent,0.058
Anderson,1996,Percent,0.058
Anderson,1996,Number,1159
Anderson,1995,Number,1090
Anderson,1995,Percent,0.053
Anderson,1994,Number,1012
Anderson,1994,Percent,0.051
Anderson,1993,Percent,0.063
Anderson,1993,Number,1163
Anderson,1992,Percent,0.077
Anderson,1992,Number,1422
Anderson,1991,Percent,0.064
Anderson,1991,Number,1170
