Location,TimeFrame,DataFormat,Data
Texas,2000,Number,437488
Texas,2011,Percent,0.079
Texas,2011,Number,986979
Anderson,2011,Number,1980
Anderson,2011,Percent,0.091
Anderson,2000,Number,901
Andrews,2000,Number,291
Andrews,2011,Percent,0.05
Andrews,2011,Number,388
Angelina,2011,Number,3114
Angelina,2011,Percent,0.077
Angelina,2000,Number,1823
Aransas,2000,Number,579
Aransas,2011,Percent,0.08
Aransas,2011,Number,881
Archer,2011,Number,295
Archer,2011,Percent,0.059
Archer,2000,Number,103
Armstrong,2000,Number,19
Armstrong,2011,Percent,0.049
Armstrong,2011,Number,49
Atascosa,2011,Number,1567
Atascosa,2011,Percent,0.079
Atascosa,2000,Number,703
Austin,2000,Number,433
Austin,2011,Percent,0.082
Austin,2011,Number,1170
Bailey,2011,Number,243
Bailey,2011,Percent,0.073
Bailey,2000,Number,179
Bandera,2000,Number,184
Bandera,2011,Percent,0.068
Bandera,2011,Number,676
Bastrop,2011,Number,2801
Bastrop,2011,Percent,0.078
Bastrop,2000,Number,658
Baylor,2000,Number,68
Baylor,2011,Percent,0.058
Baylor,2011,Number,113
Bee,2011,Number,1083
Bee,2011,Percent,0.086
Bee,2000,Number,565
Bell,2000,Number,3014
Bell,2011,Percent,0.08
Bell,2011,Number,10982
Bexar,2011,Number,60889
Bexar,2011,Percent,0.076
Bexar,2000,Number,23902
Blanco,2000,Number,78
Blanco,2011,Percent,0.061
Blanco,2011,Number,314
Borden,2011,Number,21
Borden,2011,Percent,0.039
Borden,2000,Number,5
Bosque,2000,Number,242
Bosque,2011,Percent,0.085
Bosque,2011,Number,705
Bowie,2011,Number,3512
Bowie,2011,Percent,0.077
Bowie,2000,Number,1928
Brazoria,2000,Number,6627
Brazoria,2011,Percent,0.086
Brazoria,2011,Number,13221
Brazos,2011,Number,6398
Brazos,2011,Percent,0.064
Brazos,2000,Number,1162
Brewster,2000,Number,120
Brewster,2011,Percent,0.053
Brewster,2011,Number,273
Briscoe,2011,Number,46
Briscoe,2011,Percent,0.068
Briscoe,2000,Number,26
Brooks,2000,Number,235
Brooks,2011,Percent,0.089
Brooks,2011,Number,301
Brown,2011,Number,1353
Brown,2011,Percent,0.072
Brown,2000,Number,648
Burleson,2000,Number,257
Burleson,2011,Percent,0.068
Burleson,2011,Number,549
Burnet,2011,Number,1424
Burnet,2011,Percent,0.062
Burnet,2000,Number,372
Caldwell,2000,Number,548
Caldwell,2011,Percent,0.085
Caldwell,2011,Number,1425
Calhoun,2011,Number,950
Calhoun,2011,Percent,0.091
Calhoun,2000,Number,464
Callahan,2000,Number,224
Callahan,2011,Percent,0.062
Callahan,2011,Number,437
Cameron,2011,Number,19171
Cameron,2011,Percent,0.118
Cameron,2000,Number,11312
Camp,2000,Number,287
Camp,2011,Percent,0.088
Camp,2011,Number,517
Carson,2011,Number,164
Carson,2011,Percent,0.05
Carson,2000,Number,91
Cass,2000,Number,871
Cass,2011,Percent,0.106
Cass,2011,Number,1443
Castro,2011,Number,207
Castro,2011,Percent,0.057
Castro,2000,Number,142
Chambers,2000,Number,555
Chambers,2011,Percent,0.089
Chambers,2011,Number,1576
Cherokee,2011,Number,1901
Cherokee,2011,Percent,0.089
Cherokee,2000,Number,815
Childress,2000,Number,94
Childress,2011,Percent,0.061
Childress,2011,Number,196
Clay,2011,Number,358
Clay,2011,Percent,0.061
Clay,2000,Number,159
Cochran,2000,Number,105
Cochran,2011,Percent,0.09
Cochran,2011,Number,124
Coke,2011,Number,92
Coke,2011,Percent,0.07
Coke,2000,Number,33
Coleman,2000,Number,160
Coleman,2011,Percent,0.071
Coleman,2011,Number,304
Collin,2011,Number,30552
Collin,2011,Percent,0.07
Collin,2000,Number,5767
Collingsworth,2000,Number,19
Collingsworth,2011,Percent,0.053
Collingsworth,2011,Number,76
Colorado,2011,Number,805
Colorado,2011,Percent,0.071
Colorado,2000,Number,272
Comal,2000,Number,1000
Comal,2011,Percent,0.069
Comal,2011,Number,3810
Comanche,2011,Number,452
Comanche,2011,Percent,0.067
Comanche,2000,Number,167
Concho,2000,Number,48
Concho,2011,Percent,0.079
Concho,2011,Number,108
Cooke,2011,Number,1259
Cooke,2011,Percent,0.054
Cooke,2000,Number,547
Coryell,2000,Number,861
Coryell,2011,Percent,0.092
Coryell,2011,Number,2280
Cottle,2011,Number,49
Cottle,2011,Percent,0.064
Cottle,2000,Number,34
Crane,2000,Number,100
Crane,2011,Percent,0.073
Crane,2011,Number,129
Crockett,2011,Number,115
Crockett,2011,Percent,0.053
Crockett,2000,Number,66
Crosby,2000,Number,139
Crosby,2011,Percent,0.093
Crosby,2011,Number,241
Culberson,2011,Number,71
Culberson,2011,Percent,0.042
Culberson,2000,Number,110
Dallam,2000,Number,103
Dallam,2011,Percent,0.046
Dallam,2011,Number,174
Dallas,2011,Number,98479
Dallas,2011,Percent,0.084
Dallas,2000,Number,42795
Dawson,2000,Number,312
Dawson,2011,Percent,0.079
Dawson,2011,Number,440
Deaf Smith,2011,Number,526
Deaf Smith,2011,Percent,0.056
Deaf Smith,2000,Number,467
Delta,2000,Number,131
Delta,2011,Percent,0.089
Delta,2011,Number,207
Denton,2011,Number,26031
Denton,2011,Percent,0.07
Denton,2000,Number,5227
DeWitt,2000,Number,298
DeWitt,2011,Percent,0.067
DeWitt,2011,Number,656
Dickens,2011,Number,141
Dickens,2011,Percent,0.136
Dickens,2000,Number,35
Dimmit,2000,Number,456
Dimmit,2011,Percent,0.07
Dimmit,2011,Number,384
Donley,2011,Number,119
Donley,2011,Percent,0.061
Donley,2000,Number,45
Duval,2000,Number,438
Duval,2011,Percent,0.091
Duval,2011,Number,509
Eastland,2011,Number,661
Eastland,2011,Percent,0.071
Eastland,2000,Number,354
Ector,2000,Number,3748
Ector,2011,Percent,0.058
Ector,2011,Number,4568
Edwards,2011,Number,69
Edwards,2011,Percent,0.071
Edwards,2000,Number,35
Ellis,2000,Number,1831
Ellis,2011,Percent,0.081
Ellis,2011,Number,6039
El Paso,2011,Number,33682
El Paso,2011,Percent,0.103
El Paso,2000,Number,23448
Erath,2000,Number,348
Erath,2011,Percent,0.062
Erath,2011,Number,1203
Falls,2011,Number,654
Falls,2011,Percent,0.095
Falls,2000,Number,321
Fannin,2000,Number,527
Fannin,2011,Percent,0.099
Fannin,2011,Number,1361
Fayette,2011,Number,735
Fayette,2011,Percent,0.058
Fayette,2000,Number,260
Fisher,2000,Number,54
Fisher,2011,Percent,0.064
Fisher,2011,Number,129
Floyd,2011,Number,254
Floyd,2011,Percent,0.083
Floyd,2000,Number,181
Foard,2000,Number,22
Foard,2011,Percent,0.07
Foard,2011,Number,50
Fort Bend,2011,Number,22039
Fort Bend,2011,Percent,0.073
Fort Bend,2000,Number,5477
Franklin,2000,Number,156
Franklin,2011,Percent,0.073
Franklin,2011,Number,392
Freestone,2011,Number,660
Freestone,2011,Percent,0.064
Freestone,2000,Number,362
Frio,2000,Number,413
Frio,2011,Percent,0.073
Frio,2011,Number,589
Gaines,2011,Number,431
Gaines,2011,Percent,0.056
Gaines,2000,Number,284
Galveston,2000,Number,7004
Galveston,2011,Percent,0.091
Galveston,2011,Number,13466
Garza,2011,Number,187
Garza,2011,Percent,0.071
Garza,2000,Number,89
Gillespie,2000,Number,297
Gillespie,2011,Percent,0.047
Gillespie,2011,Number,673
Glasscock,2011,Number,30
Glasscock,2011,Percent,0.044
Glasscock,2000,Number,21
Goliad,2000,Number,95
Goliad,2011,Percent,0.061
Goliad,2011,Number,221
Gonzales,2011,Number,587
Gonzales,2011,Percent,0.057
Gonzales,2000,Number,231
Gray,2000,Number,458
Gray,2011,Percent,0.06
Gray,2011,Number,696
Grayson,2011,Number,4871
Grayson,2011,Percent,0.083
Grayson,2000,Number,1847
Gregg,2000,Number,3417
Gregg,2011,Percent,0.068
Gregg,2011,Number,4514
Grimes,2011,Number,968
Grimes,2011,Percent,0.079
Grimes,2000,Number,488
Guadalupe,2000,Number,1088
Guadalupe,2011,Percent,0.067
Guadalupe,2011,Number,4388
Hale,2011,Number,1271
Hale,2011,Percent,0.072
Hale,2000,Number,814
Hall,2000,Number,81
Hall,2011,Percent,0.089
Hall,2011,Number,126
Hamilton,2011,Number,261
Hamilton,2011,Percent,0.059
Hamilton,2000,Number,95
Hansford,2000,Number,63
Hansford,2011,Percent,0.045
Hansford,2011,Number,126
Hardeman,2011,Number,130
Hardeman,2011,Percent,0.059
Hardeman,2000,Number,67
Hardin,2000,Number,1503
Hardin,2011,Percent,0.094
Hardin,2011,Number,2608
Harris,2011,Number,167760
Harris,2011,Percent,0.082
Harris,2000,Number,76072
Harrison,2000,Number,1556
Harrison,2011,Percent,0.078
Harrison,2011,Number,2653
Hartley,2011,Number,146
Hartley,2011,Percent,0.051
Hartley,2000,Number,42
Haskell,2000,Number,92
Haskell,2011,Percent,0.052
Haskell,2011,Number,171
Hays,2011,Number,5633
Hays,2011,Percent,0.067
Hays,2000,Number,1295
Hemphill,2000,Number,37
Hemphill,2011,Percent,0.027
Hemphill,2011,Number,82
Henderson,2011,Number,3049
Henderson,2011,Percent,0.084
Henderson,2000,Number,1070
Hidalgo,2000,Number,27688
Hidalgo,2011,Percent,0.12
Hidalgo,2011,Number,38095
Hill,2011,Number,1339
Hill,2011,Percent,0.083
Hill,2000,Number,612
Hockley,2000,Number,426
Hockley,2011,Percent,0.057
Hockley,2011,Number,734
Hood,2011,Number,1887
Hood,2011,Percent,0.072
Hood,2000,Number,603
Hopkins,2000,Number,562
Hopkins,2011,Percent,0.069
Hopkins,2011,Number,1250
Houston,2011,Number,935
Houston,2011,Percent,0.104
Houston,2000,Number,353
Howard,2000,Number,623
Howard,2011,Percent,0.072
Howard,2011,Number,1023
Hudspeth,2011,Number,111
