"","Location","TimeFrame","DataFormat","Child","Unemployment"
"1","Anderson",2001,"Number",2524,775
"2","Anderson",2001,"Percent",0.222,0.04
"3","Anderson",2002,"Number",2622,1041
"4","Anderson",2002,"Percent",0.228,0.054
"5","Anderson",2003,"Number",2772,1111
"6","Anderson",2003,"Percent",0.241,0.056
"7","Anderson",2004,"Number",2782,1494
"8","Anderson",2004,"Percent",0.245,0.072
"9","Anderson",2005,"Number",3107,1289
"10","Anderson",2005,"Percent",0.278,0.064
"11","Anderson",2006,"Number",2718,1225
"12","Anderson",2006,"Percent",0.243,0.059
"13","Anderson",2007,"Number",2599,1054
"14","Anderson",2007,"Percent",0.234,0.052
"15","Anderson",2008,"Number",2674,1167
"16","Anderson",2008,"Percent",0.241,0.057
"17","Anderson",2009,"Number",2917,1841
"18","Anderson",2009,"Percent",0.258,0.088
"19","Anderson",2010,"Number",3072,2001
"20","Anderson",2010,"Percent",0.272,0.095
"21","Anderson",2011,"Number",3051,1980
"22","Anderson",2011,"Percent",0.27,0.091
"23","Andrews",2001,"Number",713,190
"24","Andrews",2001,"Percent",0.183,0.039
"25","Andrews",2002,"Number",684,282
"26","Andrews",2002,"Percent",0.18,0.055
"27","Andrews",2003,"Number",761,300
"28","Andrews",2003,"Percent",0.205,0.054
"29","Andrews",2004,"Number",728,316
"30","Andrews",2004,"Percent",0.201,0.051
"31","Andrews",2005,"Number",744,277
"32","Andrews",2005,"Percent",0.208,0.043
"33","Andrews",2006,"Number",674,245
"34","Andrews",2006,"Percent",0.187,0.035
"35","Andrews",2007,"Number",756,221
"36","Andrews",2007,"Percent",0.209,0.032
"37","Andrews",2008,"Number",672,228
"38","Andrews",2008,"Percent",0.178,0.034
"39","Andrews",2009,"Number",727,496
"40","Andrews",2009,"Percent",0.171,0.071
"41","Andrews",2010,"Number",832,426
"42","Andrews",2010,"Percent",0.194,0.06
"43","Andrews",2011,"Number",836,388
"44","Andrews",2011,"Percent",0.184,0.05
"45","Angelina",2001,"Number",5221,2090
"46","Angelina",2001,"Percent",0.237,0.058
"47","Angelina",2002,"Number",5245,2494
"48","Angelina",2002,"Percent",0.235,0.068
"49","Angelina",2003,"Number",5556,2512
"50","Angelina",2003,"Percent",0.249,0.067
"51","Angelina",2004,"Number",5450,2715
"52","Angelina",2004,"Percent",0.246,0.066
"53","Angelina",2005,"Number",6505,2198
"54","Angelina",2005,"Percent",0.298,0.056
"55","Angelina",2006,"Number",5237,1914
"56","Angelina",2006,"Percent",0.24,0.047
"57","Angelina",2007,"Number",6956,1765
"58","Angelina",2007,"Percent",0.319,0.044
"59","Angelina",2008,"Number",6585,1906
"60","Angelina",2008,"Percent",0.301,0.049
"61","Angelina",2009,"Number",5654,3335
"62","Angelina",2009,"Percent",0.254,0.083
"63","Angelina",2010,"Number",6178,3233
"64","Angelina",2010,"Percent",0.27,0.08
"65","Angelina",2011,"Number",6608,3114
"66","Angelina",2011,"Percent",0.287,0.077
"67","Aransas",2001,"Number",1690,597
"68","Aransas",2001,"Percent",0.319,0.058
"69","Aransas",2002,"Number",1582,662
"70","Aransas",2002,"Percent",0.296,0.065
"71","Aransas",2003,"Number",1632,750
"72","Aransas",2003,"Percent",0.307,0.072
"73","Aransas",2004,"Number",1649,919
"74","Aransas",2004,"Percent",0.307,0.084
"75","Aransas",2005,"Number",1920,585
"76","Aransas",2005,"Percent",0.363,0.054
"77","Aransas",2006,"Number",1951,537
"78","Aransas",2006,"Percent",0.378,0.048
"79","Aransas",2007,"Number",1651,464
"80","Aransas",2007,"Percent",0.322,0.042
"81","Aransas",2008,"Number",1698,511
"82","Aransas",2008,"Percent",0.331,0.045
"83","Aransas",2009,"Number",1789,802
"84","Aransas",2009,"Percent",0.354,0.069
"85","Aransas",2010,"Number",1827,955
"86","Aransas",2010,"Percent",0.412,0.081
"87","Aransas",2011,"Number",1674,881
"88","Aransas",2011,"Percent",0.377,0.08
"89","Archer",2001,"Number",301,96
"90","Archer",2001,"Percent",0.125,0.024
"91","Archer",2002,"Number",227,132
"92","Archer",2002,"Percent",0.095,0.03
"93","Archer",2003,"Number",273,140
"94","Archer",2003,"Percent",0.118,0.032
"95","Archer",2004,"Number",302,195
"96","Archer",2004,"Percent",0.131,0.037
"97","Archer",2005,"Number",308,179
"98","Archer",2005,"Percent",0.135,0.033
"99","Archer",2006,"Number",268,187
"100","Archer",2006,"Percent",0.121,0.035
"101","Archer",2007,"Number",230,170
"102","Archer",2007,"Percent",0.108,0.032
"103","Archer",2008,"Number",239,191
"104","Archer",2008,"Percent",0.115,0.038
"105","Archer",2009,"Number",301,308
"106","Archer",2009,"Percent",0.137,0.06
"107","Archer",2010,"Number",328,302
"108","Archer",2010,"Percent",0.152,0.06
"109","Archer",2011,"Number",340,295
"110","Archer",2011,"Percent",0.166,0.059
"111","Armstrong",2001,"Number",79,15
"112","Armstrong",2001,"Percent",0.151,0.013
"113","Armstrong",2002,"Number",69,35
"114","Armstrong",2002,"Percent",0.135,0.031
"115","Armstrong",2003,"Number",67,33
"116","Armstrong",2003,"Percent",0.131,0.031
"117","Armstrong",2004,"Number",69,46
"118","Armstrong",2004,"Percent",0.142,0.042
"119","Armstrong",2005,"Number",80,44
"120","Armstrong",2005,"Percent",0.168,0.039
"121","Armstrong",2006,"Number",77,41
"122","Armstrong",2006,"Percent",0.169,0.036
"123","Armstrong",2007,"Number",67,38
"124","Armstrong",2007,"Percent",0.152,0.034
"125","Armstrong",2008,"Number",67,39
"126","Armstrong",2008,"Percent",0.148,0.036
"127","Armstrong",2009,"Number",70,53
"128","Armstrong",2009,"Percent",0.142,0.048
